MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010101	3.53E-05	19.6	0.25	-4.51E-02	3.7
010102	3.53E-05	19.6	0.25	-4.51E-02	3.7
010103	3.53E-05	19.6	0.25	-4.51E-02	3.7
010104	3.53E-05	19.6	0.25	-4.51E-02	3.7
010105	3.53E-05	19.6	0.25	-4.51E-02	3.7
010106	3.53E-05	19.6	0.25	-4.51E-02	3.7
010107	3.53E-05	19.6	0.25	-4.51E-02	3.7
010108	3.53E-05	19.6	0.25	-4.51E-02	3.7
010109	3.53E-05	19.6	0.25	-4.51E-02	3.7
010110	3.53E-05	19.6	0.25	-4.51E-02	3.7
010111	3.53E-05	19.6	0.25	-4.51E-02	3.7
010112	3.53E-05	19.6	0.25	-4.51E-02	3.7
010113	3.53E-05	19.6	0.25	-4.51E-02	3.7
010114	3.53E-05	19.6	0.25	-4.51E-02	3.7
010115	3.53E-05	19.6	0.25	-4.51E-02	3.7
010116	3.53E-05	19.6	0.25	-4.51E-02	3.7
010117	3.53E-05	19.6	0.25	-4.51E-02	3.7
010118	3.53E-05	19.6	0.25	-4.51E-02	3.7
010119	3.53E-05	19.6	0.25	-4.51E-02	3.7
010120	3.53E-05	19.6	0.25	-4.51E-02	3.7
010121	3.53E-05	19.6	0.25	-4.51E-02	3.7
010122	3.53E-05	19.6	0.25	-4.51E-02	3.7
010123	3.53E-05	19.6	0.25	-4.51E-02	3.7
010124	3.53E-05	19.6	0.25	-4.51E-02	3.7
010201	3.53E-05	19.6	0.25	-4.51E-02	3.7
010202	3.53E-05	19.6	0.25	-4.51E-02	3.7
010203	3.53E-05	19.6	0.25	-4.51E-02	3.7
010204	3.53E-05	19.6	0.25	-4.51E-02	3.7
010205	3.53E-05	19.6	0.25	-4.51E-02	3.7
010206	3.53E-05	19.6	0.25	-4.51E-02	3.7
010207	3.53E-05	19.6	0.25	-4.51E-02	3.7
010208	3.53E-05	19.6	0.25	-4.51E-02	3.7
010209	3.53E-05	19.6	0.25	-4.51E-02	3.7
010210	3.53E-05	19.6	0.25	-4.51E-02	3.7
010211	3.53E-05	19.6	0.25	-4.51E-02	3.7
010212	3.53E-05	19.6	0.25	-4.51E-02	3.7
010213	3.53E-05	19.6	0.25	-4.51E-02	3.7
